Beds,Baths,SQFT,Lot_Size,Has_Garage,New_Construction,Days_on_Market,Property_Type,Asking_Price,Sold_Price,Difference_in_Price,Stories,Condition,Parking_Spaces,Central_Air,Tax_Value,Property Age,distance_from_downtown,distance_from_metro,regions
3.0,3.5,1370.0,1824.0,No,No,15,Townhouse,599000.0,580000,-19000.0,3,Average,0,Yes,520850,23,19.31628259768451,2.896457662351983,VA
5.0,6.0,6002.0,10985.0,No,No,111,Single Family,1649000.0,1400000,-249000.0,3,Average,0,Yes,1369000,71,6.22520266420402,0.6035085337435702,MD
6.0,5.5,2006.0,30180.0,Yes,No,6,Single Family,1499999.0,1601000,101001.0,3,Excellent,0,Yes,1252600,38,9.431626355313826,3.5524795125790973,MD
3.0,3.0,2794.0,2487.0,No,No,3,Townhouse,849950.0,849500,-450.0,3,Very Good,0,Yes,573440,93,3.83912406668158,0.7611483153978832,DC Other
3.0,3.5,4046.0,1858.0,Yes,No,7,Townhouse,799900.0,825000,25100.0,3,Very Good,1,Yes,706098,44,5.395365262008187,1.0257538697130433,VA
2.0,2.0,1980.0,1575.0,No,No,5,Townhouse,699900.0,720000,20100.0,3,Very Good,0,Yes,669465,81,6.311585128585007,0.24066197913183865,VA
5.0,4.0,1100.0,15005.0,Yes,No,11,Single Family,699000.0,675000,-24000.0,2,Average,0,Yes,587430,48,8.666316314998967,0.8241616057513778,VA
2.0,2.5,690.0,0.0,Yes,No,38,Townhouse,1499000.0,1440000,-59000.0,3,Excellent,0,Yes,1298830,131,0.784912657068675,0.5769915973298236,DC Other
3.0,1.0,3907.0,871.0,No,No,9,Townhouse,249000.0,220000,-29000.0,2,Major Rehab Needed,0,No,236620,141,3.9487452733133654,1.0214447167147158,DC River East
4.0,4.5,2100.0,3720.0,Yes,No,8,Single Family,875000.0,875000,0.0,3,Very Good,0,Yes,742160,14,9.925130394772431,1.413520518771415,VA
5.0,4.5,904.0,125017.0,Yes,No,5,Single Family,1229000.0,1299000,70000.0,3,Average,0,Yes,1138100,44,16.347168817140115,7.210253812088824,MD
5.0,5.0,4704.0,218689.0,Yes,No,102,Single Family,1499000.0,1399000,-100000.0,3,Average,0,Yes,995690,33,18.831856938189624,8.614188185494482,VA
