Beds,Baths,SQFT,Lot_Size,Has_Garage,New_Construction,Days_on_Market,Property_Type,Asking_Price,Sold_Price,Difference_in_Price,Stories,Condition,Parking_Spaces,Central_Air,Tax_Value,Property Age,distance_from_downtown,distance_from_metro,regions
1.0,2.0,3136.0,12282.0,Yes,No,23,Single Family,849000.0,849000,0.0,3,Average,0,Yes,712500,24,17.588795967623227,5.392834483287237,MD
3.0,4.5,577.0,9710.0,Yes,No,3,Single Family,559000.0,640000,81000.0,3,Average,0,Yes,378600,34,16.733520942133023,5.826711566320187,MD
5.0,1.0,1610.0,1737.0,Yes,No,5,Townhouse,284000.0,294000,10000.0,3,Average,0,Yes,220933,19,5.785912118616894,1.2963976299157376,MD
4.0,4.0,2094.0,2196.0,No,No,20,Townhouse,1150000.0,1110000,-40000.0,3,Average,0,Yes,1113250,98,2.032123072275249,0.7139508997092117,DC Other
5.0,2.5,2918.0,5000.0,Yes,No,5,Single Family,1250000.0,1510000,260000.0,4,Excellent,0,Yes,1029420,82,4.320652644786473,1.0433876526591952,DC Other
3.0,1.0,518.0,6375.0,Yes,No,6,Single Family,1399000.0,1721000,322000.0,4,Average,0,Yes,1165730,92,4.79359577847861,0.7233580401860991,DC Other
2.0,2.5,1508.0,7697.0,Yes,No,2,Single Family,1199000.0,1410000,211000.0,3,Average,0,Yes,1021270,73,5.408817408413253,1.9452750670876544,DC Other
1.0,1.5,1693.0,2250.0,No,No,7,Townhouse,1075000.0,1125000,50000.0,3,Very Good,0,Yes,1100020,87,2.1175616394694203,1.162053442811738,DC Other
4.0,3.5,2072.0,1275.0,No,No,7,Townhouse,949500.0,975000,25500.0,3,Very Good,0,Yes,990640,131,1.3558981105841312,0.27987893680546305,DC Other
5.0,2.5,995.0,1800.0,No,No,6,Townhouse,1095000.0,1130000,35000.0,3,Average,0,Yes,979680,85,2.261457584429749,1.542414592865964,DC Other
2.0,2.5,2800.0,15342.0,Yes,No,5,Single Family,645000.0,665000,20000.0,3,Average,0,Yes,515100,35,11.38971344415898,2.841177641652669,VA
4.0,1.0,867.0,5696.0,Yes,No,4,Single Family,1095000.0,1302131,207131.0,4,Average,0,Yes,941120,87,4.32387360597256,1.1554891066001254,DC Other
4.0,3.5,2210.0,752.0,Yes,No,2,Townhouse,1075000.0,1200000,125000.0,3,Excellent,0,Yes,947140,17,3.0125712340168445,0.8923405782776498,DC Other
4.0,1.5,867.0,1620.0,No,No,7,Townhouse,1059000.0,1125000,66000.0,3,Excellent,0,Yes,1005600,116,1.8360756633551965,0.40896833983314956,DC Other
3.0,3.0,700.0,822.0,No,No,6,Townhouse,699000.0,780000,81000.0,3,Excellent,0,No,649310,97,2.3947997073933642,0.40681672352574133,DC Other
4.0,2.0,1689.0,1661.0,No,No,5,Townhouse,849900.0,960000,110100.0,2,Excellent,0,Yes,808050,108,3.151552356721751,0.9234652045840558,DC Other
2.0,3.0,3850.0,5470.0,Yes,No,1,Single Family,1090000.0,1090000,0.0,3,Very Good,0,Yes,974670,78,4.459471453774341,0.9014886390036184,DC Other
4.0,1.0,2460.0,7816.0,Yes,No,2,Single Family,1375000.0,1395000,20000.0,2,Excellent,0,Yes,937070,53,2.860109658273047,0.969304291224451,DC Other
2.0,1.0,2996.0,4951.0,No,No,65,Single Family,1460000.0,1380000,-80000.0,3,Very Good,0,Yes,642190,91,4.728652708421675,0.9487731853253372,DC Other
2.0,3.0,1216.0,7800.0,No,No,1,Single Family,825000.0,750000,-75000.0,2,Very Good,0,Yes,675100,68,5.459257721768364,1.5812732427987168,MD
4.0,1.0,3160.0,7816.0,Yes,No,2,Single Family,1375000.0,1395000,20000.0,2,Excellent,0,Yes,937070,53,2.860109658273047,0.969304291224451,DC Other
2.0,1.0,1646.0,4951.0,No,No,65,Single Family,1460000.0,1380000,-80000.0,3,Very Good,0,Yes,642190,91,4.728652708421675,0.9487731853253372,DC Other
5.0,4.5,2284.0,7800.0,No,No,1,Single Family,825000.0,750000,-75000.0,2,Very Good,0,Yes,675100,68,5.459257721768364,1.5812732427987168,MD
4.0,2.0,2184.0,3744.0,Yes,No,3,Townhouse,550000.0,555000,5000.0,3,Average,0,Yes,472500,13,20.372463064494752,10.540927170490319,MD
4.0,2.5,3775.0,24620.0,Yes,No,28,Single Family,1459000.0,1350000,-109000.0,3,Excellent,0,Yes,1179800,21,12.718851360999388,2.193771833226541,MD
3.0,4.0,1242.0,10271.0,No,No,33,Single Family,540000.0,520000,-20000.0,2,Excellent,0,Yes,403900,49,20.0970878172778,8.829869526221922,VA
3.0,2.0,1480.0,2300.0,No,No,15,Townhouse,969000.0,955000,-14000.0,3,Excellent,0,Yes,855060,20,10.235028941109292,0.9188977812081057,VA
5.0,2.0,1984.0,4750.0,No,No,29,Townhouse,1695000.0,1625000,-70000.0,4,Excellent,0,Yes,1683280,35,4.874228896960272,0.48309982500783266,DC Other
3.0,3.5,485.0,8056.0,No,No,2,Single Family,689000.0,715000,26000.0,3,Average,0,Yes,492700,60,15.163220295109072,1.7434892379627476,MD
4.0,2.0,3677.0,1600.0,No,No,3,Townhouse,399900.0,425000,25100.0,3,Good,0,Yes,327100,38,9.949798429032246,3.1224817334069095,MD
2.0,1.0,1508.0,12685.0,Yes,No,8,Single Family,995000.0,1155000,160000.0,2,Average,0,Yes,815433,49,11.434155923066024,3.966954688976301,MD
2.0,2.0,1700.0,1028.0,No,No,69,Townhouse,669000.0,675000,6000.0,2,Average,0,Yes,597160,114,2.3875608791701866,0.2816974774375903,DC Other
3.0,3.0,1720.0,1128.0,No,No,4,Townhouse,669000.0,700000,31000.0,2,Average,0,Yes,532480,107,3.131498340385622,0.5633720586590364,DC Other
1.0,2.0,1590.0,10018.0,No,No,4,Single Family,539900.0,565000,25100.0,2,Average,0,Yes,385833,50,12.473010261832272,1.7688102641490153,MD
1.0,3.5,7522.0,21031.0,No,No,22,Single Family,729000.0,720000,-9000.0,2,Excellent,0,Yes,654680,50,15.500421226719755,1.539533299359651,VA
3.0,5.5,672.0,6534.0,Yes,No,2,Single Family,725000.0,740000,15000.0,3,Excellent,0,Yes,586210,22,22.114129270450082,6.389560080039935,VA
1.0,2.5,1210.0,2402.0,No,No,6,Townhouse,1099000.0,1200000,101000.0,3,Average,0,Yes,1122870,111,2.5928066887897425,0.7057656662772158,DC Other
2.0,1.0,734.0,1307.0,No,No,4,Townhouse,435000.0,446000,11000.0,3,Very Good,2,Yes,380610,26,24.608254674629208,9.893450643028268,VA
6.0,2.0,2179.0,1088.0,No,No,4,Townhouse,774989.0,737000,-37989.0,2,Average,0,Yes,628970,106,3.003696047082172,0.6529697574261352,DC Other
1.0,3.0,1624.0,1500.0,Yes,No,106,Townhouse,1195000.0,1185000,-10000.0,3,Very Good,0,Yes,1402933,10,9.790822016907068,0.2619461904224084,MD
2.0,2.0,1525.0,816.0,No,No,2,Townhouse,1049000.0,1100000,51000.0,3,Average,0,Yes,920570,121,1.636135559801795,0.5177144250847018,DC Other
2.0,1.5,9239.0,0.0,No,No,21,Townhouse,590000.0,583500,-6500.0,2,Good,2,Yes,566730,27,7.9852703124759605,0.27380821948561673,VA
1.0,1.0,1475.0,1905.0,No,No,1,Townhouse,719000.0,719000,0.0,3,Average,0,No,597680,96,3.241845427390441,0.8981776112019332,DC Other
3.0,2.0,4946.0,2850.0,No,No,7,Townhouse,435000.0,477500,42500.0,3,Average,0,Yes,340067,42,17.614752165802763,2.4070149722360115,MD
3.0,1.0,7297.0,6445.0,Yes,No,8,Single Family,549000.0,575000,26000.0,3,Average,0,Yes,392300,33,10.954075987037065,1.9619405099093663,MD
2.0,2.0,4672.0,1480.0,No,No,4,Townhouse,535000.0,523000,-12000.0,3,Average,1,Yes,463860,36,8.017422019578047,1.401153012559131,VA
2.0,3.5,2744.0,3600.0,No,No,6,Townhouse,439000.0,455000,16000.0,3,Average,0,Yes,375660,70,9.524732372148524,1.9996168780597794,VA
4.0,7.0,1787.0,1536.0,No,No,19,Townhouse,824900.0,825000,100.0,3,Average,0,Yes,652480,95,4.547343434835483,1.3254848504515253,DC Other
4.0,6.5,2192.0,1406.0,No,No,13,Townhouse,549900.0,549000,-900.0,3,Average,1,No,455060,40,7.743834103666767,0.5648786748326182,VA
4.0,6.5,1024.0,14910.0,Yes,No,9,Single Family,569950.0,570000,50.0,1,Average,0,Yes,426800,57,12.21038518571859,5.625240388759872,MD
2.0,3.0,2340.0,22352.0,No,No,106,Single Family,1999999.0,1750000,-249999.0,3,Good,0,Yes,2041140,13,13.483455331420158,2.7846555815781633,VA
6.0,3.0,2892.0,1813.0,Yes,No,27,Townhouse,799900.0,850000,50100.0,3,Excellent,0,Yes,600933,36,10.13451557611913,2.4451746357116058,MD
5.0,2.0,3218.0,14078.0,Yes,No,7,Single Family,1750000.0,1955000,205000.0,3,Excellent,0,Yes,1399230,60,5.003909448597428,1.8485276405572444,DC Other
3.0,0.5,2268.0,13954.0,No,No,8,Single Family,499000.0,527300,28300.0,3,Average,0,Yes,516600,60,9.823969800982065,2.187728302702876,MD
3.0,3.5,1045.0,2000.0,No,No,8,Townhouse,1595000.0,1575000,-20000.0,3,Excellent,0,Yes,1165840,97,1.9534506594612948,1.2553619984241269,DC Other
3.0,5.5,4142.0,1716.0,No,No,9,Townhouse,1599000.0,1675000,76000.0,3,Excellent,0,Yes,1268140,96,1.7534824442338952,1.0568873527732419,DC Other
5.0,2.0,4168.0,1801.0,No,No,9,Townhouse,968500.0,990000,21500.0,3,Average,0,Yes,965100,20,1.4077181666544838,0.16854744316705947,DC Other
2.0,2.5,1147.0,5441.0,No,No,16,Single Family,400000.0,385000,-15000.0,2,Average,0,Yes,315667,71,8.896607773432487,1.7487186533282948,MD
3.0,3.5,3056.0,1937.0,No,No,4,Townhouse,1325000.0,1435000,110000.0,3,Average,0,Yes,855910,121,3.2269616372311387,0.9139507152525195,DC Other
5.0,4.5,611.0,2310.0,Yes,No,14,Townhouse,1695000.0,1695000,0.0,3,Average,0,Yes,1414480,34,2.2430357543469044,1.3550929386632302,DC Other
2.0,2.5,5484.0,6000.0,No,No,55,Single Family,949000.0,885000,-64000.0,3,Average,0,Yes,828000,83,5.175746703440205,1.0330450346582827,VA Arlington
2.0,3.5,1108.0,21872.0,Yes,No,11,Single Family,1250000.0,1250000,0.0,3,Average,0,Yes,1100240,48,11.345798496692371,2.3650700349250386,VA
5.0,3.5,2684.0,11639.0,Yes,No,4,Single Family,769900.0,825000,55100.0,3,Excellent,0,Yes,603400,17,19.13633273715859,9.459207779341055,MD
4.0,3.5,2510.0,1742.0,No,No,7,Townhouse,355000.0,349943,-5057.0,2,Average,0,Yes,254700,43,24.51526683740966,14.825607775963892,MD
3.0,2.5,2147.0,1785.0,No,No,8,Townhouse,334900.0,344900,10000.0,3,Average,0,Yes,260433,32,19.148926757966755,9.193331269510734,MD
2.0,1.0,2630.0,24440.0,Yes,No,63,Single Family,1275000.0,1200000,-75000.0,3,Average,0,Yes,1306700,36,8.269696907557833,3.215009139597533,MD
3.0,1.0,1950.0,1826.0,No,No,1,Townhouse,1100000.0,1080000,-20000.0,3,Very Good,0,Yes,528690,96,3.2265200158170373,1.0683296264392061,DC Other
4.0,3.5,2579.0,2546.0,No,No,6,Townhouse,599000.0,619000,20000.0,3,Very Good,0,Yes,407570,67,4.2585671327300245,0.2759570295399852,DC Other
1.0,2.0,1103.0,2228.0,Yes,No,5,Townhouse,615000.0,655000,40000.0,3,Excellent,0,Yes,514180,34,17.638164314979065,2.1271989492129064,VA
3.0,3.5,673.0,1520.0,No,No,6,Townhouse,499000.0,515000,16000.0,3,Average,1,Yes,416050,42,14.867322011984653,5.252611027853987,VA
5.0,3.5,1120.0,6392.0,No,No,26,Single Family,484000.0,450000,-34000.0,3,Average,0,Yes,440600,75,8.812849489448112,2.2240857113009707,MD
5.0,4.5,567.0,1550.0,Yes,No,6,Townhouse,560000.0,585000,25000.0,3,Excellent,0,Yes,480750,33,12.088295554026708,1.3960487872723892,VA
5.0,2.0,823.0,9980.0,Yes,No,9,Single Family,1050000.0,1025000,-25000.0,3,Average,0,Yes,679733,53,13.769149931823993,2.737917791830039,MD
2.0,2.5,1470.0,5460.0,No,No,6,Single Family,1025000.0,1063000,38000.0,3,Very Good,0,Yes,989430,90,4.289658426947956,1.091673559028636,DC Other
4.0,3.5,1824.0,1618.0,No,No,6,Townhouse,1149750.0,1250125,100375.0,3,Very Good,0,Yes,987890,127,1.2180647000051337,0.5501363073538623,DC Other
3.0,3.5,990.0,1797.0,No,No,57,Townhouse,1769000.0,1645000,-124000.0,3,Very Good,0,Yes,1622360,98,2.744921009495221,1.1206763759397773,DC Other
2.0,1.0,2700.0,1190.0,Yes,No,4,Townhouse,599900.0,599900,0.0,3,Very Good,0,Yes,512767,8,20.01526507941924,3.9891507465935736,MD
1.0,2.0,3824.0,8177.0,Yes,No,4,Single Family,530000.0,568595,38595.0,2,Average,0,Yes,444733,4,11.644818935604356,4.465198390369095,MD
2.0,2.5,1756.0,8588.0,No,No,16,Single Family,359900.0,349000,-10900.0,2,Average,0,Yes,323000,70,8.842126032346838,1.2080429894365543,MD
4.0,2.0,2497.0,1046.0,No,No,2,Townhouse,585000.0,615000,30000.0,3,Excellent,0,Yes,553700,34,3.1824020545120275,0.9423223762828585,VA Arlington
5.0,4.5,5900.0,1458.0,No,No,21,Townhouse,449900.0,470000,20100.0,3,Average,0,Yes,377240,28,17.01352537425444,5.882649944977293,VA
5.0,5.0,1548.0,14429.0,Yes,No,36,Single Family,594950.0,585000,-9950.0,3,Very Good,0,Yes,578230,43,18.74354262160664,2.520550021504036,VA
2.0,1.0,1600.0,4068.0,No,No,20,Townhouse,849900.0,823126,-26774.0,3,Average,0,Yes,704850,94,4.0850439670556264,1.0552868738887107,DC Other
3.0,2.5,2700.0,9133.0,No,No,6,Single Family,1195000.0,1230301,35301.0,3,Excellent,0,Yes,1009800,91,3.638540260445454,0.7617830773317683,VA Arlington
3.0,2.0,672.0,11162.0,Yes,No,3,Single Family,299000.0,307500,8500.0,1,Average,0,Yes,244900,45,16.149810729844393,6.077257303585651,MD
4.0,3.5,1385.0,1620.0,No,No,7,Townhouse,650000.0,725000,75000.0,3,Average,0,No,575200,95,3.907696632789997,0.8390357852634148,DC Other
4.0,1.5,3782.0,1073.0,No,No,5,Townhouse,435000.0,435000,0.0,3,Average,0,Yes,418337,38,7.202418351601856,1.6552310272858064,VA
3.0,2.5,1600.0,75000.0,Yes,No,31,Single Family,1275000.0,1130000,-145000.0,3,Average,0,Yes,1132320,26,18.91303590474973,5.752061358554258,VA
4.0,3.5,1450.0,620.0,No,No,8,Townhouse,925000.0,940005,15005.0,3,Average,0,Yes,918900,121,2.876631719073252,0.9397269926994574,DC Other
4.0,3.5,3000.0,5007.0,Yes,No,5,Single Family,1150000.0,1150000,0.0,3,Very Good,0,Yes,1135230,84,4.807718427456727,1.1764183649761866,DC Other
4.0,1.0,4533.0,2875.0,No,No,7,Single Family,899900.0,899900,0.0,2,Very Good,0,Yes,757118,81,5.419688888457083,0.7576449869660284,VA
2.0,3.0,2114.0,13688.0,No,No,43,Single Family,799900.0,745000,-54900.0,2,Excellent,0,Yes,580580,60,8.568659320458558,3.471494928278101,VA
4.0,3.5,1259.0,6803.0,Yes,No,69,Single Family,1199900.0,1075000,-124900.0,3,Average,0,Yes,1069300,23,3.768705177668283,0.4172357963873097,VA Arlington
4.0,3.5,1172.0,10501.0,No,No,4,Single Family,629000.0,629000,0.0,2,Average,0,Yes,559020,50,12.592380446028319,4.224238206840017,VA
3.0,4.5,2248.0,4159.0,Yes,No,3,Single Family,725000.0,730000,5000.0,3,Average,0,Yes,630070,19,15.704865845818095,4.507424123421062,VA
3.0,2.5,4500.0,1242.0,No,No,4,Townhouse,849900.0,935000,85100.0,2,Average,0,Yes,799490,121,2.569763988242199,0.7667691993335718,DC Other
3.0,2.0,915.0,2854.0,Yes,No,12,Townhouse,455000.0,455000,0.0,2,Good,0,Yes,351533,34,11.564427306286904,3.7521972368422074,MD
4.0,3.0,2540.0,8559.0,No,No,7,Single Family,720000.0,726000,6000.0,3,Average,0,Yes,631900,8,12.016808616346225,4.222459574493447,MD
2.0,2.0,1052.0,10236.0,Yes,No,1,Single Family,599999.0,600000,1.0,2,Average,0,Yes,468767,47,17.335125055527445,4.291252911423426,MD
3.0,3.5,1600.0,17338.0,Yes,No,5,Single Family,750000.0,850000,100000.0,2,Average,0,Yes,709067,8,11.92855360787276,4.144787936134578,MD
5.0,2.0,1359.0,30768.0,Yes,No,9,Single Family,499999.0,505000,5001.0,2,Average,0,Yes,416500,61,18.672489804606414,4.028562172789724,MD
4.0,1.0,700.0,850.0,No,No,2,Townhouse,649900.0,700000,50100.0,2,Average,0,Yes,627170,112,3.182476640718245,0.5244436485317988,DC Other
0.5,1.0,1886.0,1545.0,No,No,7,Townhouse,875000.0,876250,1250.0,3,Very Good,0,Yes,724580,91,3.185616310473729,0.47376642946344694,DC Other
1.0,3.0,2692.0,4283.0,No,No,1,Single Family,1650000.0,1950000,300000.0,4,Average,0,Yes,1531200,98,2.296637391389662,1.0455982226804852,DC Other
2.0,3.0,1724.0,1152.0,No,No,40,Townhouse,1099000.0,1075000,-24000.0,3,Very Good,0,Yes,1083760,121,2.9650758077390216,0.9796716704520858,DC Other
2.0,2.0,1526.0,1517.0,No,No,8,Townhouse,375000.0,381000,6000.0,3,Average,2,Yes,281367,36,12.78451445329126,3.51184052220141,MD
2.0,2.0,2954.0,44258.0,Yes,No,77,Single Family,689000.0,605000,-84000.0,3,Very Good,0,Yes,522900,40,12.414170384335762,4.577672949622997,MD
1.0,3.5,1240.0,7910.0,No,No,7,Single Family,575000.0,608500,33500.0,3,Average,0,Yes,517200,74,6.68419647337246,1.8573007829081176,MD
6.0,2.5,1865.0,4757.0,No,No,3,Townhouse,225000.0,226000,1000.0,2,Average,0,Yes,205000,46,13.920512797037341,4.331101001727075,MD
2.0,1.0,1194.0,2500.0,No,No,6,Townhouse,998500.0,1020000,21500.0,4,Average,0,Yes,972709,29,6.20839258690468,0.4794145897001959,VA
1.0,2.0,1278.0,1465.0,No,No,23,Townhouse,994900.0,950000,-44900.0,3,Average,0,No,772370,109,1.7220206879617752,0.4418301604058241,DC Other
2.0,2.5,1833.0,3300.0,Yes,No,5,Townhouse,1099000.0,1365000,266000.0,4,Average,0,Yes,1023630,94,4.680477815724916,2.1269307612880866,DC Other
3.0,2.0,2938.0,6172.0,Yes,No,6,Single Family,495000.0,547000,52000.0,3,Very Good,0,Yes,352000,36,13.526030954277648,4.60917406456821,MD
3.0,2.0,3595.0,3041.0,No,No,10,Townhouse,630000.0,635000,5000.0,3,Very Good,1,Yes,528867,50,11.215106417515292,3.120876499474127,MD
3.0,2.5,6423.0,1680.0,No,No,14,Townhouse,455000.0,470000,15000.0,3,Very Good,2,Yes,328800,33,16.802615563426496,6.205020128178585,MD
4.0,2.0,6652.0,1089.0,No,No,6,Townhouse,738400.0,780000,41600.0,2,Average,0,Yes,782710,121,2.6783587776771083,0.8498672411494665,DC Other
2.0,3.5,4302.0,4800.0,Yes,No,50,Single Family,599900.0,550000,-49900.0,3,Average,0,Yes,612510,81,3.9634060263013833,0.8836960402844214,DC Other
4.0,2.5,667.0,7500.0,Yes,No,1,Single Family,800000.0,916000,116000.0,3,Average,0,Yes,712270,83,3.4676206263724776,0.3934778861670464,DC Other
3.0,2.0,3054.0,1686.0,No,No,4,Townhouse,999000.0,999000,0.0,3,Very Good,0,Yes,1025030,131,1.2501227925637746,0.5597763747412355,DC Other
3.0,1.0,6061.0,17840.0,Yes,No,40,Single Family,669000.0,657000,-12000.0,3,Average,0,Yes,555400,55,14.605301692936665,3.531969534105952,MD
1.0,2.0,2721.0,1655.0,No,No,6,Townhouse,475000.0,557000,82000.0,3,Average,0,Yes,436470,73,4.100433941424941,0.43464296809539404,DC Other
6.0,3.5,2048.0,10450.0,No,No,10,Single Family,1049000.0,1025000,-24000.0,3,Average,0,Yes,877200,64,7.472325021730431,2.5508145683858876,MD
3.0,2.0,2231.0,6911.0,Yes,No,7,Single Family,594900.0,616000,21100.0,3,Average,0,Yes,563533,25,21.760413126521094,6.692878694116249,MD
2.0,3.5,5655.0,87120.0,Yes,No,5,Single Family,1750000.0,1775000,25000.0,2,Average,0,Yes,1568733,33,11.124173533187612,4.623716536693848,MD
4.0,2.0,1350.0,22741.0,Yes,No,6,Single Family,750000.0,880000,130000.0,3,Excellent,0,Yes,636700,35,19.029958015141947,4.68082274005396,MD
5.0,1.0,3288.0,10341.0,Yes,No,6,Single Family,775000.0,770000,-5000.0,3,Average,0,Yes,729000,53,13.677258699073358,2.666818705049739,MD
3.0,2.5,1241.0,7861.0,Yes,No,6,Single Family,1079000.0,1075000,-4000.0,3,Very Good,0,Yes,1065010,71,3.6191705088648822,0.28062325909884434,DC Other
6.0,2.0,2080.0,2000.0,No,No,6,Townhouse,1295000.0,1300000,5000.0,3,Average,0,Yes,1136640,97,1.8822811529459893,1.1841872588993454,DC Other
3.0,1.0,1468.0,1797.0,No,No,7,Townhouse,1299000.0,1275000,-24000.0,3,Very Good,0,Yes,1276530,109,2.012828133763689,1.0619440068679409,DC Other
1.0,3.5,1250.0,5367.0,Yes,No,5,Single Family,780000.0,865000,85000.0,2,Very Good,0,Yes,730133,14,7.895577923435547,3.355912025934968,MD
5.0,4.5,6026.0,8878.0,No,No,1,Single Family,1250000.0,1250000,0.0,3,Average,0,No,1000640,90,4.908521757155363,0.8206888229959799,DC Other
4.0,2.0,1250.0,9129.0,Yes,No,1,Single Family,1795000.0,1790000,-5000.0,3,Very Good,0,Yes,1063400,7,7.577742259485784,1.9895200146322467,MD
4.0,1.0,700.0,2438.0,No,No,7,Townhouse,1725000.0,1700000,-25000.0,4,Average,0,Yes,1302410,111,1.8109214634988349,0.39001384283459467,DC Other
1.0,2.0,6098.0,33728.0,Yes,No,7,Single Family,855000.0,992000,137000.0,3,Very Good,0,Yes,780600,20,16.069065917353853,8.110011265624205,MD
2.0,1.0,975.0,2775.0,No,No,4,Townhouse,619000.0,641300,22300.0,3,Average,0,No,435000,66,4.3183292227584875,0.456118615128148,DC Other
1.0,3.0,1915.0,1366.0,No,No,28,Townhouse,1599000.0,1599000,0.0,3,Average,0,Yes,1455800,86,2.6381600535327188,1.099478306431466,DC Other
3.0,2.0,503.0,21081.0,Yes,No,4,Single Family,765000.0,765000,0.0,3,Very Good,0,Yes,699400,54,15.20244596097295,2.4022249405263083,MD
6.0,2.5,1834.0,1295.0,No,No,6,Townhouse,1295000.0,1335000,40000.0,3,Very Good,0,Yes,1094170,114,1.1069264640332304,0.5658676832763369,DC Other
2.0,2.0,1592.0,10486.0,Yes,No,6,Single Family,1200000.0,1276000,76000.0,2,Excellent,0,Yes,1137200,70,5.345492653303454,0.6015705729085311,MD
1.0,5.5,2266.0,10120.0,Yes,No,78,Single Family,1895000.0,1757408,-137592.0,4,Excellent,0,Yes,1564800,60,6.999287331815462,1.2087924395389305,MD
2.0,3.0,503.0,3928.0,Yes,No,14,Single Family,625000.0,610000,-15000.0,3,Very Good,0,Yes,493210,93,4.309751037449703,1.2527688775332728,DC Other
1.0,2.0,1384.0,2375.0,No,No,34,Townhouse,1250000.0,1225000,-25000.0,3,Excellent,0,Yes,1129130,111,1.5478889718728892,0.533657350777116,DC Other
2.0,2.5,952.0,1789.0,No,No,5,Townhouse,599900.0,737000,137100.0,3,Average,0,Yes,443260,92,4.6379864217695115,1.4722338715295284,DC Other
2.0,3.5,2444.0,1415.0,No,No,10,Townhouse,549900.0,536000,-13900.0,3,Average,0,No,514330,96,2.919454256154621,0.9907192362928187,DC Other
4.0,3.5,2750.0,2727.0,No,Yes,5,Townhouse,1199900.0,1185000,-14900.0,3,Average,0,Yes,756890,112,2.318961624775301,0.3096024328995896,DC Other
4.0,2.0,3064.0,1237.0,No,Yes,8,Townhouse,1050000.0,1050000,0.0,3,Very Good,0,Yes,699710,114,2.081982981201526,0.566990395006235,DC Other
2.0,1.0,1560.0,1500.0,No,Yes,2,Townhouse,1289900.0,1325000,35100.0,3,Average,0,Yes,770220,126,1.7360898718510545,0.5935190583362441,DC Other
2.0,3.5,1731.0,1900.0,No,Yes,11,Townhouse,999900.0,1050250,50350.0,3,Excellent,0,Yes,642870,101,3.1743056197827078,1.3103644547903617,DC Other
3.0,2.0,1542.0,2088.0,No,No,1,Townhouse,1600000.0,1600000,0.0,3,Average,0,No,977780,105,2.00283846245726,1.0346130122864738,DC Other
1.0,2.5,1150.0,87120.0,Yes,No,6,Single Family,689900.0,706000,16100.0,4,Average,0,Yes,617733,46,23.8115261132294,13.717800022062779,MD
4.0,2.5,2192.0,7379.0,No,No,9,Single Family,440000.0,457000,17000.0,2,Average,0,Yes,365600,64,10.422605625739708,0.8454883823927369,MD
4.0,3.5,1452.0,11745.0,No,No,53,Single Family,645000.0,660000,15000.0,2,Average,0,Yes,585280,56,12.672986849618717,5.250590859046889,VA
4.0,2.0,1982.0,1540.0,No,No,1,Townhouse,450000.0,485000,35000.0,3,Very Good,2,Yes,431870,41,15.598159126391415,5.9113256349552605,VA
4.0,2.0,2658.0,4980.0,Yes,No,66,Single Family,779000.0,740000,-39000.0,3,Average,0,Yes,670100,7,20.206921908281917,4.304017646955185,MD
4.0,2.0,2036.0,2250.0,No,No,49,Townhouse,590000.0,570000,-20000.0,3,Average,0,Yes,491490,49,16.79118073172995,0.5665736484612557,VA
5.0,2.0,488.0,877.0,No,No,58,Townhouse,410000.0,405000,-5000.0,3,Average,0,Yes,365380,38,15.815364656469853,0.781558638441176,VA
1.0,6.5,1119.0,6332.0,Yes,No,10,Single Family,840000.0,840000,0.0,3,Average,0,Yes,689260,32,16.836555731576116,2.381375610258502,VA
1.0,2.5,577.0,16310.0,Yes,No,9,Single Family,979900.0,979900,0.0,3,Excellent,0,Yes,993660,7,8.32501734991987,0.701632983420118,VA
3.0,3.5,567.0,46296.0,No,No,3,Single Family,400000.0,415000,15000.0,3,Average,0,Yes,278100,42,23.485624385498014,12.375772949427711,VA
4.0,3.0,1209.0,10500.0,Yes,Yes,80,Single Family,1690000.0,1607500,-82500.0,3,Excellent,0,Yes,1472090,1,8.797336366817516,0.8355760041046665,VA
3.0,2.5,1820.0,10115.0,Yes,No,5,Single Family,575000.0,641000,66000.0,3,Average,0,Yes,431133,44,17.9258324001205,4.637441991476224,MD
3.0,2.0,4439.0,840.0,Yes,No,2,Townhouse,850000.0,875000,25000.0,3,Average,1,Yes,764500,35,4.120527913940045,0.13438171342766242,VA Arlington
2.0,3.5,2196.0,12036.0,Yes,No,25,Single Family,525000.0,505000,-20000.0,3,Average,0,Yes,384567,38,16.77812675636847,5.262719509612821,MD
1.0,3.0,3086.0,806.0,No,Yes,28,Townhouse,750000.0,745000,-5000.0,3,Average,0,Yes,171790,1,2.6769362576222075,0.7559360812474003,DC Other
4.0,1.0,3230.0,8571.0,No,No,2,Single Family,685000.0,705000,20000.0,3,Average,0,Yes,613070,34,20.953901571178772,8.484990236861224,VA
3.0,2.0,7712.0,2067.0,No,No,43,Townhouse,825000.0,753000,-72000.0,2,Average,0,Yes,738540,84,3.150576067907314,0.5208197711323413,DC Other
3.0,1.0,1380.0,1277.0,No,No,56,Townhouse,899900.0,875000,-24900.0,3,Excellent,0,No,756830,105,1.7721053483556717,0.5110627317713807,DC Other
1.0,2.0,464.0,7200.0,No,No,13,Single Family,525000.0,525000,0.0,2,Average,0,Yes,432800,63,13.007574403299895,1.3838491105651445,MD
2.0,2.0,777.0,0.0,No,No,5,Townhouse,278000.0,280000,2000.0,2,Very Good,2,Yes,235100,38,20.795848175562195,4.864303322888599,VA
